,rd_2003,total_income_2003,rd_intensity_2003,a4,log_num_disputes,ownership1,ownership2,ownership3,ownership4,ownership5,ownership6,ownership7,ownership8,ownership9,simulated_rd_intensity,simulated_rd_intensity2
96,54474.0,593794.0,0.091738887,3,0.0,0,0,1,0,0,0,0,0,0,0.091738887,0.091738887
97,18385.0,711535.0,0.025838504,5,1.9459101,0,0,0,0,1,0,0,0,0,0.03373725566163492,0.4444282438974893
98,8736.0,253592.0,0.034449037,5,1.9459101,0,0,0,0,1,0,0,0,0,0.06586793388900727,0.45024734046234877
99,763.0,659647.0,0.0011566792,4,0.0,0,0,0,1,0,0,0,0,0,0.0011566792,0.0011566792
100,880.0,40116.0,0.021936385,4,0.0,0,0,0,1,0,0,0,0,0,0.021936385,0.021936385
101,20541.0,532554.0,0.038570736,8,0.0,0,0,0,0,0,0,0,1,0,0.038570736,0.038570736
102,40370.0,3516173.0,0.011481233,8,0.0,0,0,0,0,0,0,0,1,0,0.011481233,0.011481233
103,460.0,666216.0,0.00069046678,4,0.0,0,0,0,1,0,0,0,0,0,0.00069046678,0.00069046678
104,73162.0,679461.0,0.10767653,7,1.7917595,0,0,0,0,0,0,1,0,0,0.10767653,0.10767653
105,1209.0,137845.0,0.008770721,8,2.1972246,0,0,0,0,0,0,0,1,0,0.008770721,0.008770721
106,10004.0,185963.0,0.053795647,8,4.6151204,0,0,0,0,0,0,0,1,0,0.053795647,0.053795647
107,4435.0,83740.0,0.052961547,8,0.0,0,0,0,0,0,0,0,1,0,0.052961547,0.052961547
108,55.0,33262.0,0.0016535386,4,0.0,0,0,0,1,0,0,0,0,0,0.0016535386,0.0016535386
109,3948.0,80206.0,0.049223252,4,0.0,0,0,0,1,0,0,0,0,0,0.049223252,0.049223252
110,31276.0,625516.0,0.050000321,8,0.0,0,0,0,0,0,0,0,1,0,0.050000321,0.050000321
111,3481.0,327420.0,0.010631605,8,0.0,0,0,0,0,0,0,0,1,0,0.010631605,0.010631605
112,4603.0,636242.0,0.0072346684,8,0.0,0,0,0,0,0,0,0,1,0,0.0072346684,0.0072346684
113,1446.0,29409.0,0.04916862,6,0.0,0,0,0,0,0,1,0,0,0,0.04916862,0.04916862
114,260.0,39451.0,0.0065904539,6,0.0,0,0,0,0,0,1,0,0,0,0.0065904539,0.0065904539
115,47400.0,617560.0,0.076753676,8,0.0,0,0,0,0,0,0,0,1,0,0.076753676,0.076753676
116,260.0,310110.0,0.0008384122,8,0.0,0,0,0,0,0,0,0,1,0,0.0008384122,0.0008384122
117,2827.0,115773.0,0.024418473,2,0.0,0,1,0,0,0,0,0,0,0,0.024418473,0.024418473
118,53000.0,616251.0,0.086003914,5,2.6390574,0,0,0,0,1,0,0,0,0,0.08139996339420924,0.5898239080365805
119,23057.0,17547098.0,0.0013140064,5,0.0,0,0,0,0,1,0,0,0,0,0.04440252563854656,0.05128459174665248
120,3505.0,299118.0,0.011717783,8,0.0,0,0,0,0,0,0,0,1,0,0.011717783,0.011717783
121,332213.0,5161066.0,0.064369068,7,1.3862944,0,0,0,0,0,0,1,0,0,0.064369068,0.064369068
122,33.200001,359254.0,9.2413728e-05,6,0.0,0,0,0,0,0,1,0,0,0,9.2413728e-05,9.2413728e-05
123,3910.0,426180.0,0.0091745276,5,0.0,0,0,0,0,1,0,0,0,0,0.06005571208842085,0.07177691251718633
124,28175.0,697244.0,0.040409096,8,1.7917595,0,0,0,0,0,0,0,1,0,0.040409096,0.040409096
125,1523.0,357108.0,0.0042648162,4,0.0,0,0,0,1,0,0,0,0,0,0.0042648162,0.0042648162
126,120.0,186293.0,0.00064414658,4,0.0,0,0,0,1,0,0,0,0,0,0.00064414658,0.00064414658
127,457.0,5554802.0,8.2271159e-05,3,0.0,0,0,1,0,0,0,0,0,0,8.2271159e-05,8.2271159e-05
128,5250.0,104977.0,0.050010953,4,0.0,0,0,0,1,0,0,0,0,0,0.050010953,0.050010953
129,40987.0,113510.0,0.36108714,1,0.0,1,0,0,0,0,0,0,0,0,0.36108714,0.36108714
130,387.0,33451.0,0.011569161,5,0.0,0,0,0,0,1,0,0,0,0,0.055241199917857954,0.05318306006724056
131,18070.0,736348.0,0.024540028,5,0.0,0,0,0,0,1,0,0,0,0,0.04764812169892989,0.03790656720069491
132,85976.0,1829825.0,0.046985913,8,0.0,0,0,0,0,0,0,0,1,0,0.046985913,0.046985913
133,5794.0,1261625.0,0.0045924899,8,0.0,0,0,0,0,0,0,0,1,0,0.0045924899,0.0045924899
134,790.0,16416.0,0.048123781,4,0.0,0,0,0,1,0,0,0,0,0,0.048123781,0.048123781
135,4498.0,190392.0,0.023624942,1,0.0,1,0,0,0,0,0,0,0,0,0.023624942,0.023624942
136,53.0,43531.0,0.0012175231,8,0.0,0,0,0,0,0,0,0,1,0,0.0012175231,0.0012175231
137,38670.0,11985882.0,0.0032262958,8,0.0,0,0,0,0,0,0,0,1,0,0.0032262958,0.0032262958
138,1683.0,131740.0,0.012775163,4,0.0,0,0,0,1,0,0,0,0,0,0.012775163,0.012775163
139,2.0,139366.0,1.4350702e-05,7,1.0986123,0,0,0,0,0,0,1,0,0,1.4350702e-05,1.4350702e-05
140,1323.0,42138.0,0.03139684,6,0.0,0,0,0,0,0,1,0,0,0,0.03139684,0.03139684
141,59000.0,1533366.0,0.038477439,5,0.0,0,0,0,0,1,0,0,0,0,0.053575370614919335,0.02737051287637315
142,171062.0,28427276.0,0.0060175303,1,2.0794415,1,0,0,0,0,0,0,0,0,0.0060175303,0.0060175303
143,1042370.0,17360864.0,0.060041368,7,0.0,0,0,0,0,0,0,1,0,0,0.060041368,0.060041368
144,78.900002,1739487.0,4.53582e-05,4,0.0,0,0,0,1,0,0,0,0,0,4.53582e-05,4.53582e-05
145,8240.0,361586.41,0.022788467,4,0.0,0,0,0,1,0,0,0,0,0,0.022788467,0.022788467
146,130.0,168580.0,0.00077114726,6,0.0,0,0,0,0,0,1,0,0,0,0.00077114726,0.00077114726
147,35.0,153986.0,0.00022729339,4,0.0,0,0,0,1,0,0,0,0,0,0.00022729339,0.00022729339
148,800.0,128590.0,0.0062213237,6,0.0,0,0,0,0,0,1,0,0,0,0.0062213237,0.0062213237
149,21.0,76579.0,0.00027422662,4,0.69314718,0,0,0,1,0,0,0,0,0,0.00027422662,0.00027422662
150,244.3,29787.5,0.0082014268,4,0.0,0,0,0,1,0,0,0,0,0,0.0082014268,0.0082014268
151,46.0,963604.0,4.7737452e-05,4,0.0,0,0,0,1,0,0,0,0,0,4.7737452e-05,4.7737452e-05
152,642.0,130572.0,0.0049168277,8,0.0,0,0,0,0,0,0,0,1,0,0.0049168277,0.0049168277
153,23.0,19302.0,0.0011915864,7,0.0,0,0,0,0,0,0,1,0,0,0.0011915864,0.0011915864
154,115271.0,970408.0,0.11878612,5,0.0,0,0,0,0,1,0,0,0,0,0.0647048697303035,0.05237212110324968
155,7241.0,98756.0,0.073322125,4,0.0,0,0,0,1,0,0,0,0,0,0.073322125,0.073322125
156,440.0,184580.0,0.0023837902,4,1.0986123,0,0,0,1,0,0,0,0,0,0.0023837902,0.0023837902
157,6500.0,98110.695,0.066251695,6,0.0,0,0,0,0,0,1,0,0,0,0.066251695,0.066251695
158,610.0,29453.0,0.020710964,4,0.0,0,0,0,1,0,0,0,0,0,0.020710964,0.020710964
159,105.0,26391.0,0.0039786291,6,0.0,0,0,0,0,0,1,0,0,0,0.0039786291,0.0039786291
160,12123.0,841927.0,0.01439911,1,0.0,1,0,0,0,0,0,0,0,0,0.01439911,0.01439911
161,486.0,101334.0,0.0047960212,1,0.0,1,0,0,0,0,0,0,0,0,0.0047960212,0.0047960212
162,700.0,39700.0,0.017632242,4,1.7917595,0,0,0,1,0,0,0,0,0,0.017632242,0.017632242
163,1854.0,2501118.0,0.00074126851,5,0.0,0,0,0,0,1,0,0,0,0,0.053179406821655124,0.046371137273699764
164,2000.0,1707096.0,0.0011715803,8,0.0,0,0,0,0,0,0,0,1,0,0.0011715803,0.0011715803
165,1270.0,878235.0,0.0014460823,4,2.4849067,0,0,0,1,0,0,0,0,0,0.0014460823,0.0014460823
166,2810.0,140931.0,0.019938836,1,0.0,1,0,0,0,0,0,0,0,0,0.019938836,0.019938836
167,5860.0,250803.0,0.023364952,4,0.0,0,0,0,1,0,0,0,0,0,0.023364952,0.023364952
168,5530.0,186680.2,0.029622851,8,0.0,0,0,0,0,0,0,0,1,0,0.029622851,0.029622851
